Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,53391.367188,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,53935.250000,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,55385.609375,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,54751.082031,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,54116.550781,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,54297.839844,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,54841.726563,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,55023.023438,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,56020.144531,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,55748.203125,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,54207.187500,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,54569.789063,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,54388.492188,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,53663.316406,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,51487.769531,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,52484.894531,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,51215.832031,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,50671.937500,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,49130.933594,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,49856.121094,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,50218.707031,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,52031.648438,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,52394.242188,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,51215.832031,18716656
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,51215.832031,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,49493.527344,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,47227.343750,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,47227.343750,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,45278.414063,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,44326.617188,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,42876.257813,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,41335.250000,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,38933.093750,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,41153.957031,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,38525.183594,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,42558.996094,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,44100.003906,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,43329.496094,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,43782.734375,39896178
2020-03-30,47050.000000,48350.000000,46550.000000,47850.000000,43695.066406,26797395
2020-03-31,48000.000000,48500.000000,47150.000000,47750.000000,43603.761719,30654261
2020-04-01,47450.000000,47900.000000,45800.000000,45800.000000,41823.078125,27259532
2020-04-02,46200.000000,46850.000000,45350.000000,46800.000000,42736.246094,21621076
2020-04-03,47400.000000,47600.000000,46550.000000,47000.000000,42918.886719,22784682
2020-04-06,47500.000000,48800.000000,47250.000000,48700.000000,44471.261719,23395726
2020-04-07,49650.000000,50200.000000,49000.000000,49600.000000,45293.113281,31524034
2020-04-08,49600.000000,49750.000000,48600.000000,48600.000000,44379.949219,25010314
2020-04-09,49750.000000,49800.000000,48700.000000,49100.000000,44836.523438,22628058
2020-04-10,48950.000000,49250.000000,48650.000000,49250.000000,44973.503906,17839111
2020-04-13,48650.000000,48900.000000,48300.000000,48300.000000,44105.996094,14431800
2020-04-14,48800.000000,49200.000000,48300.000000,49000.000000,44745.210938,14206216
2020-04-16,49350.000000,49350.000000,48550.000000,49000.000000,44745.210938,23349760
2020-04-17,50800.000000,52000.000000,50300.000000,51400.000000,46936.812500,32041675
2020-04-20,51400.000000,51400.000000,50000.000000,50100.000000,45749.695313,21866354
2020-04-21,49400.000000,49700.000000,48700.000000,49250.000000,44973.503906,27407543
2020-04-22,48700.000000,50000.000000,48350.000000,49850.000000,45521.406250,18613864
2020-04-23,50200.000000,50300.000000,49500.000000,49850.000000,45521.406250,18754442
2020-04-24,49650.000000,49750.000000,49000.000000,49350.000000,45064.816406,15618347
2020-04-27,49350.000000,50000.000000,49100.000000,49850.000000,45521.406250,14049471
2020-04-28,49850.000000,50100.000000,49300.000000,50100.000000,45749.695313,16095399
2020-04-29,49900.000000,50500.000000,49600.000000,50000.000000,45658.378906,15604533
2020-05-04,48900.000000,49100.000000,48500.000000,48500.000000,44288.628906,26083749
2020-05-06,49000.000000,49200.000000,48500.000000,49200.000000,44927.851563,18070225
2020-05-07,49200.000000,49300.000000,48700.000000,48800.000000,44562.578125,13884411
2020-05-08,49100.000000,49350.000000,48800.000000,48800.000000,44562.578125,15319700
2020-05-11,48900.000000,49250.000000,48300.000000,48400.000000,44197.312500,16357743
2020-05-12,48400.000000,48500.000000,47550.000000,47900.000000,43740.726563,23433590
2020-05-13,47250.000000,48550.000000,47200.000000,48550.000000,44334.289063,20223277
2020-05-14,47750.000000,48100.000000,47650.000000,48000.000000,43832.050781,19305974
2020-05-15,48400.000000,48450.000000,47700.000000,47850.000000,43695.066406,18463118
2020-05-18,47950.000000,49100.000000,47600.000000,48800.000000,44562.578125,20481981
2020-05-19,50100.000000,50500.000000,49700.000000,50300.000000,45932.332031,25168295
2020-05-20,50000.000000,50200.000000,49800.000000,50000.000000,45658.378906,14896899
2020-05-21,50300.000000,50400.000000,49850.000000,49950.000000,45612.718750,14949266
2020-05-22,49600.000000,49800.000000,48600.000000,48750.000000,44516.929688,19706284
2020-05-25,48750.000000,48900.000000,48450.000000,48850.000000,44608.234375,14337913
2020-05-26,48700.000000,49450.000000,48600.000000,49250.000000,44973.503906,15127490
2020-05-27,48950.000000,50000.000000,48800.000000,49900.000000,45567.066406,19548479
2020-05-28,51100.000000,51200.000000,49900.000000,50400.000000,46023.644531,31309318
2020-05-29,50000.000000,50700.000000,49700.000000,50700.000000,46297.593750,27596961
